Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66156ec88684f1c5bdfd6f92,60250e892b5c5727eeeef076,AWAITING REVIEW,Not Applicable,2024-04-09T16:37:32.901000Z,2024-04-09T16:51:39.148000Z,,2024-04-09T16:54:18.782970Z,847.0,C1AUX6QQ,1617,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66156ecbabd7ca52bf84b3a8,62d8229a7c40118d96ddcd58,AWAITING REVIEW,Not Applicable,2024-04-09T16:37:40.220000Z,2024-04-09T16:50:49.337000Z,,2024-04-09T16:51:10.380947Z,790.0,C1AUX6QQ,568,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
66156f82731624d76ff034aa,60a6a76aca6c98b970de90f2,AWAITING REVIEW,Not Applicable,2024-04-09T16:40:37.575000Z,2024-04-09T16:59:15.993000Z,,2024-04-09T16:59:16.646037Z,1119.0,C1AUX6QQ,1737,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
66156f9771cfcf61b3570b6e,600f46f6c513db11698a960d,AWAITING REVIEW,Not Applicable,2024-04-09T16:40:55.448000Z,2024-04-09T16:53:19.490000Z,,2024-04-09T16:54:37.909545Z,745.0,C1AUX6QQ,1586,44,Male,White,United States,United Kingdom,United Kingdom,English,Yes,Full-Time
661570e5d9760732952d1c06,6162c650f52a251b60211e35,AWAITING REVIEW,Not Applicable,2024-04-09T16:46:37.374000Z,2024-04-09T16:58:59.479000Z,,2024-04-09T16:59:00.016438Z,743.0,C1AUX6QQ,186,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6615711df4fab153c97b5a76,5db31089a1f8d3000c10a6c5,AWAITING REVIEW,Not Applicable,2024-04-09T16:47:37.415000Z,2024-04-09T17:03:14.660000Z,,2024-04-09T17:03:56.130820Z,938.0,C1AUX6QQ,2266,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
661576bd6e5056ffa4daf36c,63039f41fa5c21d483996be2,AWAITING REVIEW,Not Applicable,2024-04-09T17:11:29.436000Z,2024-04-09T18:01:31.190000Z,,2024-04-09T18:01:31.995582Z,3002.0,C1AUX6QQ,1376,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
661577a0fdb9fc7c807fda85,5e5521580ee1b951df544c3c,AWAITING REVIEW,Not Applicable,2024-04-09T17:15:15.822000Z,2024-04-09T17:38:24.398000Z,,2024-04-09T18:38:32.092430Z,1389.0,C1AUX6QQ,2382,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
661579adfdb9fc7c807fdac8,660fd6dbb6db38a13b6d0b12,AWAITING REVIEW,Not Applicable,2024-04-09T17:24:15.194000Z,2024-04-09T17:49:35.129000Z,,2024-04-09T17:49:35.753045Z,1520.0,C1AUX6QQ,26,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66157b2612d522859a797080,62e02b26e879244a99e852fa,AWAITING REVIEW,Not Applicable,2024-04-09T17:30:28.207000Z,2024-04-09T17:42:08.681000Z,,2024-04-09T17:42:37.014548Z,701.0,C1AUX6QQ,1392,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66157b26b95c4f46bbf03dce,5f356cbffb4cea5170d04fd9,AWAITING REVIEW,Not Applicable,2024-04-09T17:33:44.122000Z,2024-04-09T17:50:04.472000Z,,2024-04-09T17:50:05.057439Z,981.0,C1AUX6QQ,1480,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66157b26e2b3f626a93ac702,638e2eed82fa613f2140ba13,AWAITING REVIEW,Not Applicable,2024-04-09T17:30:20.111000Z,2024-04-09T18:01:14.429000Z,,2024-04-09T19:01:20.724529Z,1855.0,C1AUX6QQ,1008,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66157e15b59e2e3f096a85fd,63af557b3d4f219c3226b7d6,AWAITING REVIEW,Not Applicable,2024-04-09T17:43:32.118000Z,2024-04-09T17:57:09.858000Z,,2024-04-09T17:57:10.403023Z,818.0,C1AUX6QQ,1299,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
